number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
45,0.0,2025-07-04 23:06:32.360038,2025-07-04 23:06:32.379583,0 days 00:00:00.019545,14,12,0.1,0.1,20,70,30,14,30,100,10,,COMPLETE
46,0.0,2025-07-04 23:06:32.380655,2025-07-04 23:06:32.400347,0 days 00:00:00.019692,14,10,0.05,0.1,20,70,30,28,10,250,5,,COMPLETE
47,0.0,2025-07-04 23:06:32.401242,2025-07-04 23:06:32.419302,0 days 00:00:00.018060,14,14,0.1,0.2,10,70,30,14,50,200,5,,COMPLETE
48,0.0,2025-07-04 23:06:32.420168,2025-07-04 23:06:32.439242,0 days 00:00:00.019074,14,10,0.05,0.1,20,70,30,21,20,150,10,,COMPLETE
49,0.0,2025-07-04 23:06:32.440123,2025-07-04 23:06:32.457710,0 days 00:00:00.017587,14,10,0.1,0.15,10,70,30,28,10,100,5,,COMPLETE
50,0.0,2025-07-04 23:06:32.458565,2025-07-04 23:06:32.478906,0 days 00:00:00.020341,14,12,0.05,0.1,20,70,30,14,40,250,10,,COMPLETE
51,0.0,2025-07-04 23:06:32.479770,2025-07-04 23:06:32.496982,0 days 00:00:00.017212,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
52,0.0,2025-07-04 23:06:32.497957,2025-07-04 23:06:32.515910,0 days 00:00:00.017953,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
53,0.0,2025-07-04 23:06:32.516712,2025-07-04 23:06:32.533670,0 days 00:00:00.016958,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
54,0.0,2025-07-04 23:06:32.534581,2025-07-04 23:06:32.550646,0 days 00:00:00.016065,14,10,0.1,0.15,15,70,30,21,10,200,5,,COMPLETE
55,0.0,2025-07-04 23:06:32.551779,2025-07-04 23:06:32.574200,0 days 00:00:00.022421,14,14,0.05,0.15,20,70,30,14,30,200,5,,COMPLETE
56,0.0,2025-07-04 23:06:32.575480,2025-07-04 23:06:32.594100,0 days 00:00:00.018620,14,10,0.1,0.1,15,70,30,28,50,250,10,,COMPLETE
57,0.0,2025-07-04 23:06:32.594953,2025-07-04 23:06:32.612139,0 days 00:00:00.017186,14,12,0.05,0.15,10,70,30,14,10,100,5,,COMPLETE
58,0.0,2025-07-04 23:06:32.613181,2025-07-04 23:06:32.635259,0 days 00:00:00.022078,14,10,0.1,0.1,20,70,30,21,20,150,5,,COMPLETE
59,0.0,2025-07-04 23:06:32.636208,2025-07-04 23:06:32.656241,0 days 00:00:00.020033,14,10,0.05,0.2,20,70,30,28,10,250,10,,COMPLETE
